l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
2899,10143,30867,230000,3,1,60,,,,10019.14616,,,,,,"SRID=4326;LINESTRING(-88.5138065910546 30.4125743465242,-88.5341692175475 30.5010080832599)"
14507,23079,23081,345000;115000,6,1,60,,,,4528.002993,,,,,,"SRID=4326;LINESTRING(-96.6823095695505 40.8971251609979,-96.6428338230421 40.9076927178534)"
25338,500,19340,230000,3,1,60,,,,225.9630825,,,,,,"SRID=4326;LINESTRING(-121.614455153837 37.7643178974414,-121.612093385699 37.7627129541672)"
38873,536,16283,230000;69000;230000,3,1,60,,Tampa Electric,,16357.93703,,,,,,"SRID=4326;LINESTRING(-82.2013064334803 27.8559675684376,-82.1468741301904 27.9660292301626)"
20118,25666,25671,,3,1,60,,,,813.2096673,,,,,,"SRID=4326;LINESTRING(-75.2482478163307 40.6822161884516,-75.2460348166283 40.6751258893922)"
2902,3586,30868,230000,3,1,60,,,,47597.23389,,,,,,"SRID=4326;LINESTRING(-113.668706990579 42.7055381198625,-114.230473603748 42.6374269231374)"
12381,22186,22151,,3,1,60,,,,6268.767114,,,,,,"SRID=4326;LINESTRING(-78.9885804124727 43.1619666081308,-78.9746028063148 43.1424029681535)"
37139,345,354,230000,6,2,60,,SMUD,Rancho Seco-Pocket,45869.30842,,,,,,"SRID=4326;LINESTRING(-121.470084317457 38.4895282573393,-121.123777688015 38.3442192444842)"
20275,25747,25754,,3,1,60,,,,1270.50977,,,,,,"SRID=4326;LINESTRING(-75.4004900686015 40.6409521580158,-75.3982682654093 40.6522458206279)"
21038,26088,26087,,3,1,60,,,,96.80494499,,,,,,"SRID=4326;LINESTRING(-88.363229744439 49.1361747718047,-88.3644803789776 49.1358508700614)"
23451,24881,27243,230000,3,1,60,,LCEC,,30227.40749,,,,,,"SRID=4326;LINESTRING(-81.9562074438744 26.9467452829048,-81.9564015698073 26.7044496859272)"
32099,3350,8604,345000,6,1,60,,,,6699.648129,,,,,,"SRID=4326;LINESTRING(-96.1328032092439 31.3713190685568,-96.2062842864884 31.3769871467229)"
5616,16491,28494,230000,6,1,60,,,,2617.260684,,,,,,"SRID=4326;LINESTRING(-103.325061725484 20.7848216338061,-103.350284147723 20.7774146687688)"
13075,18604,18680,,3,1,60,,,,37919.93991,,,,,,"SRID=4326;LINESTRING(-82.729092941166 37.3879610230598,-83.0878188903725 37.2243729555195)"
9076,18303,18301,,3,1,60,,,,1420.131951,,,,,,"SRID=4326;LINESTRING(-81.6655029161283 34.2517229649268,-81.6503839105705 34.2543020047951)"
2922,30876,30877,,3,1,60,,,,19743.91886,,,,,,"SRID=4326;LINESTRING(-108.021901553087 37.1744931915809,-108.037778750569 36.9997316179163)"
5859,383,28558,765000,3,1,60,Kammer - Belmont 765 kV transmission line,AEP,,77923.642,,,,,,"SRID=4326;LINESTRING(-80.8060468604617 39.8338365936824,-81.3089875076312 39.3451336440092)"
27504,3607,3608,345000,3,1,60,,ComEd,,5735.982973,,,,,,"SRID=4326;LINESTRING(-87.6666149769832 41.6368656030363,-87.7331117289012 41.6401182418942)"
4573,2384,29582,,3,1,60,,,,2635.490451,,,,,,"SRID=4326;LINESTRING(-82.0505614334923 41.4781241648552,-82.0532805631562 41.5024877351319)"
4521,3027,29564,138000;500000;138000,3,1,60,,,,12161.43283,,,,,,"SRID=4326;LINESTRING(-78.9555821329232 38.0957064812075,-78.8497466805997 38.1066970838077)"
7689,14283,29239,,3,1,60,,,,53.99672823,,,,,,"SRID=4326;LINESTRING(-81.6831680413686 35.7395030551078,-81.6844710090348 35.7377021081973)"
8668,20471,20473,,3,1,60,,,,9628.958564,,,,,,"SRID=4326;LINESTRING(-120.843206918557 36.9283779964697,-120.775623425798 36.8610048938042)"
18958,5922,25074,,3,1,60,,,,910.124044,,,,,,"SRID=4326;LINESTRING(-70.6178354441969 43.3969446882817,-70.6255501527596 43.3890718097403)"
38475,14039,15888,,3,1,60,,,,52785.94183,,,,,,"SRID=4326;LINESTRING(-92.0644451341922 41.5643600356949,-92.6984896036073 41.5714125891949)"
4361,9416,29520,345000,6,1,60,,,,30791.78174,,,,,,"SRID=4326;LINESTRING(-85.7034402485009 38.0393845415766,-85.5132472506946 38.2259063598433)"
28564,4808,4846,138000,3,1,60,,,,4227.021031,,,,,,"SRID=4326;LINESTRING(-95.4505387911979 29.7246880330842,-95.4478356057192 29.6837535719641)"
14485,8162,23072,345000;115000,3;6,1,60,,,,19800.06032,,,,,,"SRID=4326;LINESTRING(-97.2630159879536 41.2209296168252,-97.262728232442 41.0416390121739)"
15522,18802,18803,,3,1,60,,,,17859.03598,,,,,,"SRID=4326;LINESTRING(-90.1759408749161 36.5850249738134,-90.0944988926056 36.4530169580554)"
14260,20922,22964,230000,3,1,60,,Bonneville Power Administration,,376.5297933,,,,,,"SRID=4326;LINESTRING(-117.659873816018 48.7427705867291,-117.663387935578 48.7411646628495)"
19429,106,19059,500000,3,2,60,Path 15,,Tracy - Los Banos,90646.39695,,,,,,"SRID=4326;LINESTRING(-121.020769370059 37.0532597183161,-121.549146098121 37.7048910607271)"
31488,7583,8027,230000,3,1,60,,,,39113.54307,,,,,,"SRID=4326;LINESTRING(-106.359684136497 42.872186330428,-105.949223726707 42.8822427254128)"
40254,790,791,,3,1,60,,,,497.0632339,,,,,,"SRID=4326;LINESTRING(-75.3492383393988 40.6226358481099,-75.3581629148416 40.6204211848865)"
15518,9321,23561,230000,3,1,60,Kokomo Webster - Walton 230kV,Duke Energy Indiana,23020,18392.08447,,,,,,"SRID=4326;LINESTRING(-86.2604302371721 40.6777256589667,-86.2761830974916 40.512153593075)"
34547,2644,11495,,3,1,60,,,,2539.894595,,,,,,"SRID=4326;LINESTRING(-84.35698684826 42.2404417856961,-84.3747719565345 42.2315072933797)"
37491,14836,14855,230000,3,1,60,,,,14065.70137,,,,,,"SRID=4326;LINESTRING(-109.678568910981 30.3693315049001,-109.542775113988 30.3406841445306)"
3536,9150,31119,,3,1,60,,,,5551.799843,,,,,,"SRID=4326;LINESTRING(-123.046822233258 44.5713188135184,-123.101255408597 44.6029343152336)"
33097,3097,9646,230000,3,1,60,,,,48409.39543,,,,,,"SRID=4326;LINESTRING(-108.852113932619 46.0513788766148,-109.382058993478 46.2794720374578)"
38418,549,15818,240000,6,1,60,,,,5616.308127,,,,,,"SRID=4326;LINESTRING(-113.37153006232 53.5397561169882,-113.365266711237 53.5879058675584)"
3581,19799,31138,69000,3,1,60,,,,155.4464058,,,,,,"SRID=4326;LINESTRING(-77.2762542183654 39.1358287980328,-77.2777751332872 39.136105464247)"
42269,2854,2856,230000,6,1,60,230 kV Transmission Line,,,6652.943104,,,,,,"SRID=4326;LINESTRING(-74.870326066958 39.9159894117758,-74.8103852875882 39.9505411485117)"
7237,3412,29063,500000,3,3,60,,,,4756.248908,,,,,,"SRID=4326;LINESTRING(-119.264704528721 45.8062373554612,-119.31134101461 45.7931806556746)"
34862,30919,11904,,3,1,60,,,,601.5577013,,,,,,"SRID=4326;LINESTRING(-94.3123198779496 18.053404312636,-94.3053325629687 18.0544869261417)"
